group,variable,value
cherry tomatoes,gouda,0
cherry tomatoes,roast beef,0
cherry tomatoes,pinto beans,0
cherry tomatoes,seafood,0
cherry tomatoes,biscuits,0
cherry tomatoes,risotto rice,0
cherry tomatoes,cream cheese,0
cherry tomatoes,nutmeg,0
cherry tomatoes,juniper berries,0
cherry tomatoes,salmon,0
cherry tomatoes,custard,0
cherry tomatoes,cottage cheese,0
cherry tomatoes,haddock,0
cherry tomatoes,fruit,0
cherry tomatoes,cinnamon,0
cherry tomatoes,apple juice,0
cherry tomatoes,duck,0
cherry tomatoes,green cabbage,0
cherry tomatoes,long-grain rice,0
cherry tomatoes,oyster mushrooms,0
cherry tomatoes,zest,0
cherry tomatoes,gingerbread,0
cherry tomatoes,seaweed,0
cherry tomatoes,fontina cheese,0
cherry tomatoes,oyster sauce,0
cherry tomatoes,corned beef,0
cherry tomatoes,pastrami,0
cherry tomatoes,black sesame seeds,0
cherry tomatoes,lamb,0
cherry tomatoes,miso,0
cherry tomatoes,celery,0
cherry tomatoes,syrup,0
cherry tomatoes,sesame oil,0
cherry tomatoes,sherry,0
cherry tomatoes,orange,0
cherry tomatoes,buckwheat,0
cherry tomatoes,rice,0
cherry tomatoes,chips,0
cherry tomatoes,crab,0
cherry tomatoes,watermelon,0
cherry tomatoes,mixed berries,0
cherry tomatoes,chocolate,0
cherry tomatoes,halibut,0
cherry tomatoes,puff pastry,0
cherry tomatoes,vanilla extract,0
cherry tomatoes,almond extract,0
cherry tomatoes,hoisin sauce,0
cherry tomatoes,risotto,0
cherry tomatoes,brioche,0
cherry tomatoes,truffle oil,0
cherry tomatoes,curry powder,0
cherry tomatoes,cognac,0
cherry tomatoes,fillet of beef,0
cherry tomatoes,fleur de sel,0
cherry tomatoes,rum,0
cherry tomatoes,rice wine,0
cherry tomatoes,mixed spice,0
cherry tomatoes,serrano ham,0
cherry tomatoes,split peas,0
cherry tomatoes,millet flour,0
cherry tomatoes,sea bream,0
cherry tomatoes,pomegranate,0
cherry tomatoes,stock,0
cherry tomatoes,buns,0
cherry tomatoes,ginger,0
cherry tomatoes,chutney,0
cherry tomatoes,chinese cabbage,0
cherry tomatoes,swiss chard,0
cherry tomatoes,spring greens,0
cherry tomatoes,shellfish,0
cherry tomatoes,coconut cream,0
cherry tomatoes,sesame seeds,0
cherry tomatoes,stuffing,0
cherry tomatoes,pigeon peas,0
cherry tomatoes,sourdough bread,0
cherry tomatoes,cider,0
cherry tomatoes,nasturtium,0
cherry tomatoes,yoghurt,0
cherry tomatoes,dulce de leche,0
cherry tomatoes,bay leaf,0
cherry tomatoes,cream,0
cherry tomatoes,food colouring,0
cherry tomatoes,flour,0
cherry tomatoes,fusilli,0
cherry tomatoes,squash,0
cherry tomatoes,vegetables,0
cherry tomatoes,buttermilk,0
cherry tomatoes,pea shoots,0
cherry tomatoes,pesto,0
cherry tomatoes,asafoetida,0
cherry tomatoes,ricotta,0
cherry tomatoes,noodles,0
cherry tomatoes,spaghetti squash,0
cherry tomatoes,mint,0
cherry tomatoes,pappardelle,0
cherry tomatoes,bicarbonate of soda,0
cherry tomatoes,vermicelli,0
cherry tomatoes,evaporated milk,0
cherry tomatoes,vinegar,0
cherry tomatoes,pineapple,0
cherry tomatoes,rainbow chard,0
cherry tomatoes,root beer,0
cherry tomatoes,amaranth,0
cherry tomatoes,kale,0
cherry tomatoes,mustard,0
cherry tomatoes,rye bread,0
cherry tomatoes,peanuts,0
cherry tomatoes,blood orange,0
cherry tomatoes,dry sherry,0
cherry tomatoes,tomato juice,0
cherry tomatoes,cardamom,0
cherry tomatoes,pumpernickel bread,0
cherry tomatoes,chickpea flour,0
cherry tomatoes,molasses,0
cherry tomatoes,fennel seeds,0
cherry tomatoes,soda,0
cherry tomatoes,cabbage,0
cherry tomatoes,fat,0
cherry tomatoes,daikon,0
cherry tomatoes,soba noodles,0
cherry tomatoes,anise,0
cherry tomatoes,anchovies,0
cherry tomatoes,peanut oil,0
cherry tomatoes,pepperoni,0
cherry tomatoes,coconut,0
cherry tomatoes,cranberry juice,0
cherry tomatoes,wasabi,0
cherry tomatoes,chorizo,0
cherry tomatoes,porcini,0
cherry tomatoes,cream soda,0
cherry tomatoes,herbes de provence,0
cherry tomatoes,sirloin,0
cherry tomatoes,port,0
cherry tomatoes,tahini,0
cherry tomatoes,wine,0
cherry tomatoes,pork belly,0
cherry tomatoes,coffee liqueur,0
cherry tomatoes,macaroni,0
cherry tomatoes,orange juice,0
cherry tomatoes,pork loin,0
cherry tomatoes,marsala wine,0
cherry tomatoes,rice vinegar,0
cherry tomatoes,walnut oil,0
cherry tomatoes,bulgur wheat,0
cherry tomatoes,vermouth,0
cherry tomatoes,red cabbage,0
cherry tomatoes,hazelnut oil,0
cherry tomatoes,stew,0
cherry tomatoes,sunflower oil,0
cherry tomatoes,jam,0
cherry tomatoes,milk,0
cherry tomatoes,chipotle,0
cherry tomatoes,runner beans,0
cherry tomatoes,gravy,0
cherry tomatoes,allspice,0
cherry tomatoes,peas,0
cherry tomatoes,chilli paste,0
cherry tomatoes,cod,0
cherry tomatoes,beef ribs,0
cherry tomatoes,clarified butter,0
cherry tomatoes,preserves,0
cherry tomatoes,sage,0
cherry tomatoes,salsa,0
cherry tomatoes,polenta,0
cherry tomatoes,nori,0
cherry tomatoes,curry paste,0
cherry tomatoes,potato wedges,0
cherry tomatoes,coconut milk,0
cherry tomatoes,pomegranate juice,0
cherry tomatoes,green beans,0
cherry tomatoes,herbs,0
cherry tomatoes,ale,0
cherry tomatoes,crisps,0
cherry tomatoes,cocoa powder,0
cherry tomatoes,iceberg lettuce,0
cherry tomatoes,wild rice,0
cherry tomatoes,ghee,0
cherry tomatoes,rye flour,0
cherry tomatoes,saffron,0
cherry tomatoes,sushi rice,0
cherry tomatoes,ketchup,0
cherry tomatoes,lemon balm,0
cherry tomatoes,fennel,0
cherry tomatoes,thai basil,0
cherry tomatoes,garam masala,0
cherry tomatoes,papaya,0
cherry tomatoes,rhubarb,0
cherry tomatoes,ciabatta,0
cherry tomatoes,curd cheese,0
cherry tomatoes,turkey,0
cherry tomatoes,lettuce,0
cherry tomatoes,chard,0
cherry tomatoes,vodka,0
cherry tomatoes,tofu,0
cherry tomatoes,jaggery,0
cherry tomatoes,oatmeal,0
cherry tomatoes,brussels sprouts,0
cherry tomatoes,golden syrup,0
cherry tomatoes,sumac,0
cherry tomatoes,coffee,0
cherry tomatoes,palm sugar,0
cherry tomatoes,lemongrass,0
cherry tomatoes,pulled pork,0
cherry tomatoes,spelt flour,0
cherry tomatoes,beef stock,0
cherry tomatoes,spices,0
cherry tomatoes,cola,0
cherry tomatoes,clams,0
cherry tomatoes,mixed nuts,0
cherry tomatoes,raspberry jam,0
cherry tomatoes,rock salt,0
cherry tomatoes,radicchio,0
cherry tomatoes,ham,0
cherry tomatoes,brisket,0
cherry tomatoes,fish,0
cherry tomatoes,fish sauce,0
cherry tomatoes,tamarind,0
cherry tomatoes,rosewater,0
cherry tomatoes,grapeseed oil,0
cherry tomatoes,coconut oil,0
cherry tomatoes,mirin,0
cherry tomatoes,cake,0
cherry tomatoes,chestnut mushrooms,0
cherry tomatoes,rosemary,0
cherry tomatoes,cream of tartar,0
cherry tomatoes,rice noodles,0
cherry tomatoes,pork,0
cherry tomatoes,brown rice,0
cherry tomatoes,mascarpone,0
cherry tomatoes,cauliflower,0
cherry tomatoes,white wine,0
cherry tomatoes,meat,0
cherry tomatoes,pollock,0
cherry tomatoes,savoy cabbage,0
cherry tomatoes,grapefruit,0
cherry tomatoes,cannellini beans,0
cherry tomatoes,soy sauce,0
cherry tomatoes,kidney beans,0
cherry tomatoes,chocolate truffle,0
cherry tomatoes,mustard powder,0
cherry tomatoes,soup,0
cherry tomatoes,broth,0
cherry tomatoes,tarragon,0
cherry tomatoes,mung beans,0
cherry tomatoes,tilapia,0
cherry tomatoes,yeast,0
cherry tomatoes,mango chutney,0
cherry tomatoes,demerara sugar,0
cherry tomatoes,dumplings,0
cherry tomatoes,icing,0
cherry tomatoes,crackers,0
cherry tomatoes,ground almonds,0
cherry tomatoes,foie gras,0
cherry tomatoes,butternut squash,0
cherry tomatoes,liver,0
cherry tomatoes,linguine,0
cherry tomatoes,horseradish sauce,0
cherry tomatoes,coriander seeds,0
cherry tomatoes,monkfish,0
cherry tomatoes,bamboo shoots,0
cherry tomatoes,peanut butter,0
cherry tomatoes,white pepper,0
cherry tomatoes,gin,0
cherry tomatoes,beansprouts,0
cherry tomatoes,caraway seeds,0
cherry tomatoes,pineapple juice,0
cherry tomatoes,savory,0
cherry tomatoes,broad beans,0
cherry tomatoes,venison,0
cherry tomatoes,smoked salmon,0
cherry tomatoes,red wine,0
cherry tomatoes,pastry,0
cherry tomatoes,verjus,0
cherry tomatoes,coffee granules,0
cherry tomatoes,roast turkey,0
cherry tomatoes,prosciutto,0
cherry tomatoes,lemon curd,0
cherry tomatoes,chives,0
cherry tomatoes,curly kale,0
cherry tomatoes,white bread,0
cherry tomatoes,corn syrup,0
cherry tomatoes,cuttlefish,0
cherry tomatoes,chervil,0
cherry tomatoes,seasoning,0
cherry tomatoes,salami,0
cherry tomatoes,safflower oil,0
cherry tomatoes,ice cream,0
cherry tomatoes,mustard seeds,0
cherry tomatoes,raisins,0
cherry tomatoes,chocolate cake,0
cherry tomatoes,margarine,0
cherry tomatoes,gorgonzola,0
cherry tomatoes,oil,0
cherry tomatoes,jelly,0
cherry tomatoes,apricot jam,0
cherry tomatoes,whipping cream,0
cherry tomatoes,coleslaw,0
cherry tomatoes,mango,0
cherry tomatoes,watercress,0
cherry tomatoes,beer,0
cherry tomatoes,vegetable shortening,0
cherry tomatoes,pork shoulder,0
cherry tomatoes,turmeric,0
cherry tomatoes,green lentil,0
cherry tomatoes,cress,0
cherry tomatoes,corn oil,0
cherry tomatoes,grapes,0
cherry tomatoes,pumpkin,0
cherry tomatoes,coulis,0
cherry tomatoes,brandy,0
cherry tomatoes,strawberry jam,0
cherry tomatoes,semolina,0
cherry tomatoes,tequila,0
cherry tomatoes,poppy seeds,0
cherry tomatoes,dark chocolate,0
cherry tomatoes,tangerine,0
cherry tomatoes,baking powder,0
cherry tomatoes,camembert,0
cherry tomatoes,chopped tomatoes,0
cherry tomatoes,vanilla essence,0
cherry tomatoes,ground ginger,0
cherry tomatoes,bonito,0
cherry tomatoes,flatbread,0
cherry tomatoes,compote,0
cherry tomatoes,milk chocolate,0
cherry tomatoes,pak choi,0
cherry tomatoes,lardons,0
cherry tomatoes,caviar,0
cherry tomatoes,condensed milk,0
cherry tomatoes,marjoram,0
cherry tomatoes,caster sugar,0
cherry tomatoes,curry leaves,0
cherry tomatoes,hollandaise sauce,0
cherry tomatoes,turkey breast,0
pancetta,pancetta,64
pancetta,spaghetti,25
pancetta,salt,13
pancetta,olive oil,13
pancetta,garlic,7
pancetta,red wine,5
pancetta,white wine,4
pancetta,pepper,4
pancetta,celery,3
pancetta,milk,3
pancetta,worcestershire sauce,3
pancetta,cream,2
pancetta,chicken stock,2
pancetta,herbs,2
pancetta,chopped tomatoes,2
pancetta,sea salt,2
pancetta,nutmeg,1
pancetta,dijon mustard,1
pancetta,lemon,1
pancetta,butter,1
pancetta,mustard,1
pancetta,cayenne pepper,1
pancetta,salad,1
pancetta,vermouth,1
pancetta,capers,1
pancetta,beef stock,1
pancetta,spices,1
pancetta,asparagus,1
pancetta,linguine,1
pancetta,white bread,1
pancetta,flatbread,1
pancetta,cherry tomatoes,0
pancetta,white chocolate,0
pancetta,champagne,0
pancetta,lager,0
pancetta,duck fat,0
pancetta,spring roll wrappers,0
pancetta,horseradish,0
pancetta,coriander,0
pancetta,fresh coriander,0
pancetta,squid,0
pancetta,gnocchi,0
pancetta,curry,0
pancetta,maple syrup,0
pancetta,avocado,0
pancetta,oats,0
pancetta,vegetable stock,0
pancetta,gouda,0
pancetta,roast beef,0
pancetta,capsicum,0
pancetta,pinto beans,0
pancetta,seafood,0
pancetta,biscuits,0
pancetta,paprika,0
pancetta,risotto rice,0
pancetta,cream cheese,0
pancetta,juniper berries,0
pancetta,salmon,0
pancetta,custard,0
pancetta,cottage cheese,0
pancetta,haddock,0
pancetta,fruit,0
pancetta,cinnamon,0
pancetta,apple juice,0
pancetta,duck,0
pancetta,green cabbage,0
pancetta,long-grain rice,0
pancetta,oyster mushrooms,0
pancetta,zest,0
pancetta,mayonnaise,0
pancetta,gingerbread,0
pancetta,seaweed,0
pancetta,fontina cheese,0
pancetta,oyster sauce,0
pancetta,corned beef,0
pancetta,pastrami,0
pancetta,black sesame seeds,0
pancetta,lamb,0
pancetta,miso,0
pancetta,white wine vinegar,0
pancetta,syrup,0
pancetta,sesame oil,0
pancetta,sherry,0
pancetta,orange,0
pancetta,buckwheat,0
pancetta,rice,0
pancetta,chips,0
pancetta,crab,0
pancetta,watermelon,0
pancetta,mixed berries,0
pancetta,chocolate,0
pancetta,halibut,0
pancetta,puff pastry,0
pancetta,vanilla extract,0
pancetta,almond extract,0
pancetta,hoisin sauce,0
pancetta,risotto,0
pancetta,brioche,0
pancetta,truffle oil,0
pancetta,curry powder,0
pancetta,cognac,0
pancetta,chicken,0
pancetta,fillet of beef,0
pancetta,fleur de sel,0
pancetta,rum,0
pancetta,rice wine,0
pancetta,mixed spice,0
pancetta,serrano ham,0
pancetta,dill,0
pancetta,split peas,0
pancetta,hummus,0
pancetta,millet flour,0
pancetta,sea bream,0
pancetta,pomegranate,0
pancetta,stock,0
pancetta,buns,0
pancetta,ginger,0
pancetta,chutney,0
pancetta,chinese cabbage,0
pancetta,swiss chard,0
pancetta,spring greens,0
pancetta,shellfish,0
pancetta,coconut cream,0
pancetta,sesame seeds,0
pancetta,stuffing,0
pancetta,pigeon peas,0
pancetta,sourdough bread,0
pancetta,cider,0
pancetta,nasturtium,0
pancetta,yoghurt,0
pancetta,dulce de leche,0
pancetta,bay leaf,0
pancetta,plain flour,0
pancetta,food colouring,0
pancetta,flour,0
pancetta,fusilli,0
pancetta,squash,0
pancetta,vegetables,0
pancetta,buttermilk,0
pancetta,pea shoots,0
pancetta,pesto,0
pancetta,asafoetida,0
pancetta,ricotta,0
pancetta,noodles,0
pancetta,lime juice,0
pancetta,spaghetti squash,0
pancetta,cucumber,0
pancetta,mint,0
pancetta,pappardelle,0
pancetta,bicarbonate of soda,0
pancetta,pasta,0
pancetta,vermicelli,0
pancetta,quinoa,0
pancetta,evaporated milk,0
pancetta,vinegar,0
pancetta,pineapple,0
pancetta,rainbow chard,0
pancetta,root beer,0
pancetta,amaranth,0
pancetta,kale,0
pancetta,wholemeal bread,0
pancetta,lemon juice,0
pancetta,rye bread,0
pancetta,peanuts,0
pancetta,blood orange,0
pancetta,dry sherry,0
pancetta,tomato juice,0
pancetta,cardamom,0
pancetta,pumpernickel bread,0
pancetta,chickpea flour,0
pancetta,molasses,0
pancetta,sugar,0
pancetta,broccoli,0
pancetta,fennel seeds,0
pancetta,soda,0
pancetta,cabbage,0
pancetta,black pepper,0
pancetta,fat,0
pancetta,daikon,0
pancetta,soba noodles,0
pancetta,anise,0
pancetta,barbecue sauce,0
pancetta,anchovies,0
pancetta,peanut oil,0
pancetta,pepperoni,0
pancetta,lime,0
pancetta,mussels,0
pancetta,sherry vinegar,0
pancetta,coconut,0
pancetta,cranberry juice,0
pancetta,wasabi,0
pancetta,chorizo,0
pancetta,porcini,0
pancetta,cream soda,0
pancetta,herbes de provence,0
pancetta,sirloin,0
pancetta,port,0
pancetta,balsamic vinegar,0
pancetta,tahini,0
pancetta,wine,0
pancetta,pork belly,0
pancetta,coffee liqueur,0
pancetta,macaroni,0
pancetta,orange juice,0
pancetta,pork loin,0
pancetta,marsala wine,0
pancetta,rice vinegar,0
pancetta,walnut oil,0
pancetta,bulgur wheat,0
pancetta,black beans,0
pancetta,red cabbage,0
pancetta,parsley,0
pancetta,hazelnut oil,0
pancetta,stew,0
pancetta,sunflower oil,0
pancetta,jam,0
pancetta,croutons,0
pancetta,oregano,0
pancetta,cumin,0
pancetta,french bread,0
pancetta,chipotle,0
pancetta,runner beans,0
pancetta,gravy,0
pancetta,allspice,0
pancetta,peas,0
pancetta,chilli paste,0
pancetta,cod,0
pancetta,beef ribs,0
pancetta,clarified butter,0
pancetta,preserves,0
pancetta,spinach,0
pancetta,sage,0
pancetta,salsa,0
pancetta,polenta,0
pancetta,nori,0
pancetta,curry paste,0
pancetta,basil,0
pancetta,grapefruit juice,0
pancetta,potato wedges,0
pancetta,coconut milk,0
pancetta,pomegranate juice,0
pancetta,green beans,0
pancetta,ale,0
pancetta,crisps,0
pancetta,cocoa powder,0
pancetta,iceberg lettuce,0
pancetta,wild rice,0
pancetta,ghee,0
pancetta,vegetable oil,0
pancetta,steak,0
pancetta,rye flour,0
pancetta,saffron,0
pancetta,sushi rice,0
pancetta,ketchup,0
pancetta,lemon balm,0
pancetta,fennel,0
pancetta,thai basil,0
pancetta,garam masala,0
pancetta,bread,0
pancetta,cheese,0
pancetta,papaya,0
pancetta,rhubarb,0
pancetta,ciabatta,0
pancetta,honey,0
pancetta,curd cheese,0
pancetta,turkey,0
pancetta,lettuce,0
pancetta,chard,0
pancetta,vodka,0
pancetta,tofu,0
pancetta,jaggery,0
pancetta,oatmeal,0
pancetta,brussels sprouts,0
pancetta,golden syrup,0
pancetta,sumac,0
pancetta,coffee,0
pancetta,palm sugar,0
pancetta,lemongrass,0
pancetta,guacamole,0
pancetta,brown sugar,0
pancetta,pulled pork,0
pancetta,spelt flour,0
pancetta,cola,0
pancetta,clams,0
pancetta,mixed nuts,0
pancetta,raspberry jam,0
pancetta,rock salt,0
pancetta,radicchio,0
pancetta,ham,0
pancetta,bacon,0
pancetta,brisket,0
pancetta,fish,0
pancetta,fish sauce,0
pancetta,tamarind,0
pancetta,rosewater,0
pancetta,seeds,0
pancetta,grapeseed oil,0
pancetta,coconut oil,0
pancetta,mirin,0
pancetta,cake,0
pancetta,chestnut mushrooms,0
pancetta,beans,0
pancetta,rosemary,0
pancetta,cream of tartar,0
pancetta,rice noodles,0
pancetta,pork,0
pancetta,brown rice,0
pancetta,mascarpone,0
pancetta,rice flour,0
pancetta,cauliflower,0
pancetta,beef,0
pancetta,meat,0
pancetta,pollock,0
pancetta,savoy cabbage,0
pancetta,grapefruit,0
pancetta,cannellini beans,0
pancetta,soy sauce,0
pancetta,kidney beans,0
pancetta,chocolate truffle,0
pancetta,mustard powder,0
pancetta,soup,0
pancetta,broth,0
pancetta,tarragon,0
pancetta,mung beans,0
pancetta,tilapia,0
pancetta,yeast,0
pancetta,mango chutney,0
pancetta,demerara sugar,0
pancetta,dumplings,0
pancetta,icing,0
pancetta,crackers,0
pancetta,ground almonds,0
pancetta,foie gras,0
pancetta,butternut squash,0
pancetta,liver,0
pancetta,horseradish sauce,0
pancetta,coriander seeds,0
pancetta,monkfish,0
pancetta,bamboo shoots,0
pancetta,peanut butter,0
pancetta,white pepper,0
pancetta,gin,0
pancetta,beansprouts,0
pancetta,caraway seeds,0
pancetta,pineapple juice,0
pancetta,savory,0
pancetta,broad beans,0
pancetta,venison,0
pancetta,smoked salmon,0
pancetta,pastry,0
pancetta,verjus,0
pancetta,coffee granules,0
pancetta,roast turkey,0
pancetta,prosciutto,0
pancetta,lemon curd,0
pancetta,chives,0
pancetta,curly kale,0
pancetta,corn syrup,0
pancetta,cuttlefish,0
pancetta,chervil,0
pancetta,seasoning,0
pancetta,salami,0
pancetta,lentils,0
pancetta,safflower oil,0
pancetta,ice cream,0
pancetta,mustard seeds,0
pancetta,raisins,0
pancetta,chocolate cake,0
pancetta,margarine,0
pancetta,gorgonzola,0
pancetta,oil,0
pancetta,jelly,0
pancetta,apricot jam,0
pancetta,whipping cream,0
pancetta,coleslaw,0
pancetta,salad leaves,0
pancetta,mango,0
pancetta,watercress,0
pancetta,beer,0
pancetta,thyme,0
pancetta,vegetable shortening,0
pancetta,pork shoulder,0
pancetta,turmeric,0
pancetta,green lentil,0
pancetta,cress,0
pancetta,star anise,0
pancetta,arborio rice,0
pancetta,corn oil,0
pancetta,grapes,0
pancetta,pumpkin,0
pancetta,coulis,0
pancetta,baguette,0
pancetta,brandy,0
pancetta,strawberry jam,0
pancetta,semolina,0
pancetta,tequila,0
pancetta,poppy seeds,0
pancetta,double cream,0
pancetta,dark chocolate,0
pancetta,tangerine,0
pancetta,baking powder,0
pancetta,camembert,0
pancetta,vanilla essence,0
pancetta,ground ginger,0
pancetta,red wine vinegar,0
pancetta,bonito,0
pancetta,lobster,0
pancetta,compote,0
pancetta,milk chocolate,0
pancetta,pak choi,0
pancetta,lardons,0
pancetta,caviar,0
pancetta,condensed milk,0
pancetta,marjoram,0
pancetta,pork sausages,0
pancetta,caster sugar,0
pancetta,curry leaves,0
pancetta,hollandaise sauce,0
pancetta,turkey breast,0
white chocolate,white chocolate,16
white chocolate,sugar,4
white chocolate,cream,3
white chocolate,cream cheese,2
white chocolate,vanilla extract,2
white chocolate,salt,2
white chocolate,biscuits,1
white chocolate,butter,1
white chocolate,buttermilk,1
white chocolate,lemon juice,1
white chocolate,basil,1
white chocolate,mascarpone,1
white chocolate,baking powder,1
white chocolate,vanilla essence,1
white chocolate,sea salt,1
white chocolate,caster sugar,1
white chocolate,cherry tomatoes,0
white chocolate,pancetta,0
white chocolate,champagne,0
white chocolate,lager,0
white chocolate,duck fat,0
white chocolate,spring roll wrappers,0
white chocolate,horseradish,0
white chocolate,coriander,0
white chocolate,fresh coriander,0
white chocolate,squid,0
white chocolate,gnocchi,0
white chocolate,curry,0
white chocolate,maple syrup,0
white chocolate,avocado,0
white chocolate,oats,0
white chocolate,vegetable stock,0
white chocolate,gouda,0
white chocolate,roast beef,0
white chocolate,capsicum,0
white chocolate,pinto beans,0
white chocolate,seafood,0
white chocolate,paprika,0
white chocolate,risotto rice,0
white chocolate,nutmeg,0
white chocolate,juniper berries,0
white chocolate,salmon,0
white chocolate,custard,0
white chocolate,cottage cheese,0
white chocolate,haddock,0
white chocolate,fruit,0
white chocolate,cinnamon,0
white chocolate,apple juice,0
white chocolate,duck,0
white chocolate,green cabbage,0
white chocolate,long-grain rice,0
white chocolate,oyster mushrooms,0
white chocolate,zest,0
white chocolate,mayonnaise,0
white chocolate,gingerbread,0
white chocolate,seaweed,0
white chocolate,fontina cheese,0
white chocolate,oyster sauce,0
white chocolate,corned beef,0
white chocolate,pastrami,0
white chocolate,dijon mustard,0
white chocolate,black sesame seeds,0
white chocolate,lamb,0
white chocolate,miso,0
white chocolate,celery,0
white chocolate,white wine vinegar,0
white chocolate,syrup,0
white chocolate,sesame oil,0
white chocolate,sherry,0
white chocolate,orange,0
white chocolate,buckwheat,0
white chocolate,rice,0
white chocolate,chips,0
white chocolate,crab,0
white chocolate,watermelon,0
white chocolate,mixed berries,0
white chocolate,chocolate,0
white chocolate,lemon,0
white chocolate,halibut,0
white chocolate,puff pastry,0
white chocolate,almond extract,0
white chocolate,hoisin sauce,0
white chocolate,risotto,0
white chocolate,brioche,0
white chocolate,truffle oil,0
white chocolate,curry powder,0
white chocolate,cognac,0
white chocolate,chicken,0
white chocolate,fillet of beef,0
white chocolate,fleur de sel,0
white chocolate,rum,0
white chocolate,rice wine,0
white chocolate,mixed spice,0
white chocolate,serrano ham,0
white chocolate,dill,0
white chocolate,split peas,0
white chocolate,hummus,0
white chocolate,millet flour,0
white chocolate,sea bream,0
white chocolate,pomegranate,0
white chocolate,stock,0
white chocolate,buns,0
white chocolate,ginger,0
white chocolate,chutney,0
white chocolate,chinese cabbage,0
white chocolate,swiss chard,0
white chocolate,spring greens,0
white chocolate,shellfish,0
white chocolate,coconut cream,0
white chocolate,sesame seeds,0
white chocolate,stuffing,0
white chocolate,pigeon peas,0
white chocolate,sourdough bread,0
white chocolate,cider,0
white chocolate,nasturtium,0
white chocolate,yoghurt,0
white chocolate,dulce de leche,0
white chocolate,bay leaf,0
white chocolate,plain flour,0
white chocolate,food colouring,0
white chocolate,flour,0
white chocolate,fusilli,0
white chocolate,squash,0
white chocolate,vegetables,0
white chocolate,pea shoots,0
white chocolate,pesto,0
white chocolate,asafoetida,0
white chocolate,ricotta,0
white chocolate,noodles,0
white chocolate,lime juice,0
white chocolate,spaghetti squash,0
white chocolate,cucumber,0
white chocolate,mint,0
white chocolate,pappardelle,0
white chocolate,bicarbonate of soda,0
white chocolate,pasta,0
white chocolate,vermicelli,0
white chocolate,quinoa,0
white chocolate,evaporated milk,0
white chocolate,vinegar,0
white chocolate,pineapple,0
white chocolate,rainbow chard,0
white chocolate,root beer,0
white chocolate,amaranth,0
white chocolate,kale,0
white chocolate,wholemeal bread,0
white chocolate,mustard,0
white chocolate,rye bread,0
white chocolate,peanuts,0
white chocolate,blood orange,0
white chocolate,dry sherry,0
white chocolate,tomato juice,0
white chocolate,cardamom,0
white chocolate,pumpernickel bread,0
white chocolate,chickpea flour,0
white chocolate,molasses,0
white chocolate,broccoli,0
white chocolate,fennel seeds,0
white chocolate,soda,0
white chocolate,cabbage,0
white chocolate,black pepper,0
white chocolate,fat,0
white chocolate,daikon,0
